season,episode_num,title,rating,votes,link,summary
1,11,S1.E11 ∙ Detox,8.6,5000,https://www.imdb.com/title/tt0606020/?ref_=ttep_ep_11,A girl crashes a Porsche after her boyfriend starts coughing up blood and continues to have unexplained bleeds. Clinic Cases: Cuddy gives House a month off clinic duties if he can spend a week off his pain meds.
1,12,S1.E12 ∙ Sports Medicine,7.8,4300,https://www.imdb.com/title/tt0606041/?ref_=ttep_ep_12,"A detoxed sports star about to make his comeback breaks his arm due to brittle bones. Clinic Cases: Woman with leg pain, man trying to remove his contact lenses, a dentist with various issues, and a hung over teenager - all in 70 seconds."
1,13,S1.E13 ∙ Cursed,8,4400,https://www.imdb.com/title/tt0606015/?ref_=ttep_ep_13,A young boy's fever lasts nearly a week after a Ouija board predicts he will die. Clinic Cases: Chase's case of a man with numb fingers.
1,14,S1.E14 ∙ Control,8.5,4600,https://www.imdb.com/title/tt0606014/?ref_=ttep_ep_14,Can House save a high powered female executive from the same problem that has left him in constant pain? A new head of the hospital board could cause problems. Clinic cases: A boy and his mute dad.
1,15,S1.E15 ∙ Mob Rules,7.9,4300,https://www.imdb.com/title/tt0606031/?ref_=ttep_ep_15,A Mob informer collapses before trial. Is he faking or is he really in a coma? Clinic Cases: A pair of brothers come in when the youngster gets toys stuck up his nose.
1,16,S1.E16 ∙ Heavy,8.2,4300,https://www.imdb.com/title/tt0606024/?ref_=ttep_ep_16,"A morbidly obese ten-year-old girl has a heart attack, and her mother insists that House and his team look past her weight to find the diagnosis. Meanwhile, Vogler pressures House to fire a member of his staff. Overweight woman with a 30-pound tumor on her ovaries who refuses to have it removed, because she worries she will be unattractive."
1,17,S1.E17 ∙ Role Model,8.4,4400,https://www.imdb.com/title/tt0606037/?ref_=ttep_ep_17,"An ambitious and charismatic black senator campaigning for the presidency falls ill from a mysterious malady, possibly AIDS."
1,18,S1.E18 ∙ Babies & Bathwater,8.8,4800,https://www.imdb.com/title/tt0606013/?ref_=ttep_ep_18,"While House and his team scramble to discover what's causing brain and kidney dysfunction in a pregnant woman, Vogler is on the warpath to get House fired."
1,19,S1.E19 ∙ Kids,8.2,4200,https://www.imdb.com/title/tt0606028/?ref_=ttep_ep_19,"During a meningitis outbreak which overwhelms the clinic, House is drawn to a single patient: a 12-year-old competitive diver whose symptoms don't quite match everyone else's."
1,20,S1.E20 ∙ Love Hurts,8.1,4300,https://www.imdb.com/title/tt0606029/?ref_=ttep_ep_20,"House has to deal with his promised dinner date with Cameron, a mysterious stroke in a clinic patient and a libidinous senior citizen."
1,21,S1.E21 ∙ Three Stories,9.6,11000,https://www.imdb.com/title/tt0606046/?ref_=ttep_ep_21,"House's ex Stacy Warner asks him to treat her husband. House takes over a diagnostics class for a day and presents the class with three case studies of leg pain. As House tells his story and the class gradually fills up with listeners, the class learns a lot about how to be better doctors, and Chase, Foreman and Cameron learn some important details of House's past."
1,22,S1.E22 ∙ Honeymoon,8.6,4600,https://www.imdb.com/title/tt0606043/?ref_=ttep_ep_22,House doses his ex-girlfriend's husband in order to get him into hospital after she begs House to treat him. Is House treating Mark differently in order to get back at Stacy for his leg?
2,1,S2.E1 ∙ Acceptance,8.3,4400,https://www.imdb.com/title/tt0606011/?ref_=ttep_ep_1,House treats a patient on death row while Dr. Cameron avoids telling a patient she has a terminal illness.
2,2,S2.E2 ∙ Autopsy,9.1,6400,https://www.imdb.com/title/tt0606012/?ref_=ttep_ep_2,"A very brave and mature 9-year-old girl has terminal cancer, but that is not what the problem seems to be."
2,3,S2.E3 ∙ Humpty Dumpty,7.8,4000,https://www.imdb.com/title/tt0606026/?ref_=ttep_ep_3,"Cuddy joins the team after her handyman falls off of her roof and begins to develop bizarre symptoms. Clinic Cases: African American man who objects to ""minority meds."""
2,4,S2.E4 ∙ TB or Not TB,7.9,4000,https://www.imdb.com/title/tt0606042/?ref_=ttep_ep_4,"A doctor campaigns against the epidemic of TB in Africa, possibly at the risk of his own life."
2,5,S2.E5 ∙ Daddy's Boy,8,3900,https://www.imdb.com/title/tt0606017/?ref_=ttep_ep_5,"The team takes care of a student with inexplicable electrical shocks, and House's parents visit."
2,6,S2.E6 ∙ Spin,7.7,3800,https://www.imdb.com/title/tt0606040/?ref_=ttep_ep_6,"Star bicycle racer collapses, and the team must come up with a diagnosis after the patient admits to blood doping. House and Stacy continue sparring with each other. Clinic Case: Flight attendant poisons himself with gum."
2,7,S2.E7 ∙ Hunting,8.2,3900,https://www.imdb.com/title/tt0606027/?ref_=ttep_ep_7,"After being accused of assaulting a sick man, House is forced to take on his case. However, despite the fact that he has AIDS, it's clearly not what's killing him."
2,8,S2.E8 ∙ The Mistake,8.8,4600,https://www.imdb.com/title/tt0606044/?ref_=ttep_ep_8,"Chaos ensues after Chase's negligence leads to the death of a female patient. Now, after an inquiry from the hospital board, and a subpoena from the patient's brother, it's up to Stacey to protect Chase's career, as well as House's."
2,9,S2.E9 ∙ Deception,8.3,3800,https://www.imdb.com/title/tt0606019/?ref_=ttep_ep_9,"A woman collapses at an off-track betting parlor in front of House, and he must battle his new boss to find her diagnosis."
2,10,S2.E10 ∙ Failure to Communicate,8.4,3900,https://www.imdb.com/title/tt0606021/?ref_=ttep_ep_10,"When a famous writer is brought in with language difficulties, House must assist via phone while waiting for a delayed plane."
2,11,S2.E11 ∙ Need to Know,8,3700,https://www.imdb.com/title/tt0606032/?ref_=ttep_ep_11,"House and the team must determine what is causing an increasingly deceitful patient's muscle flailing. Stacy makes a decision, and Cameron avoids a test."
2,12,S2.E12 ∙ Distractions,8.4,3900,https://www.imdb.com/title/tt0606023/?ref_=ttep_ep_12,"A patient with 40% body burns and inexplicable cardiac and neurological signs is treated by the team, while House pursues disproving an old enemy's medical study."
2,13,S2.E13 ∙ Skin Deep,8.5,4400,https://www.imdb.com/title/tt0606039/?ref_=ttep_ep_13,"The search for the cause of a supermodel's symptoms causes intense feelings among the team, as new facts are revealed. Meanwhile, House experiences increasing pain in his leg."
2,14,S2.E14 ∙ Sex Kills,8.3,3800,https://www.imdb.com/title/tt0606038/?ref_=ttep_ep_14,House and the team struggle to diagnose one patient in order to save another. Clinic Case: College student claims he has the hots for heifers.
2,15,S2.E15 ∙ Clueless,8.4,3800,https://www.imdb.com/title/tt0763992/?ref_=ttep_ep_15,House must diagnose a man who became sick and experienced difficulty breathing during sex-play but all tests keep returning normal. Wilson experiences close-up what living with House is like. Clinic case: Herpes
2,16,S2.E16 ∙ Safe,8.6,4200,https://www.imdb.com/title/tt0774238/?ref_=ttep_ep_16,"6 months after a teenage girl receives a heart transplant, she goes into anaphylactic shock in her clean bedroom and discovers something on her arm, after her boyfriend climbs in her bedroom window and they have sex."
2,17,S2.E17 ∙ All In,8.9,4800,https://www.imdb.com/title/tt0774235/?ref_=ttep_ep_17,"On a class field trip, a teacher discovers that her six-year-old student, Ian, is bleeding profusely. Dr. House thinks Ian has the same unknown disease that killed an elderly patient of his years ago."
2,18,S2.E18 ∙ Sleeping Dogs Lie,8,3700,https://www.imdb.com/title/tt0765624/?ref_=ttep_ep_18,Cameron gets mad at Foreman because Foreman steals her idea for an article. The case of the week: a woman has not slept for ten days despite taking a bottle of sleeping pills.
2,19,S2.E19 ∙ House vs. God,8.4,4100,https://www.imdb.com/title/tt0774237/?ref_=ttep_ep_19,"House takes on a teenage faith healer, Wilson desperately wants into a poker game, and tensions escalate between Cameron and Foreman."
2,20,S2.E20 ∙ Euphoria: Part 1,9.1,5200,https://www.imdb.com/title/tt0774236/?ref_=ttep_ep_20,"A police officer in critical condition has bizarre symptoms, and Dr. Foreman finds himself in an unpleasant situation."
2,21,S2.E21 ∙ Euphoria: Part 2,9.2,5800,https://www.imdb.com/title/tt0799143/?ref_=ttep_ep_21,House tries radical procedures to save Foreman's life; Foreman's father visits.
2,22,S2.E22 ∙ Forever,7.9,3600,https://www.imdb.com/title/tt0777001/?ref_=ttep_ep_22,"A dad kisses his wife and baby goodbye before leaving for work, pukes and returns to find his wife with seizure in the bathtub and the baby under water. Foreman is back but changed."
2,23,S2.E23 ∙ Who's Your Daddy?,7.6,3600,https://www.imdb.com/title/tt0784412/?ref_=ttep_ep_23,"House cares for a young Katrina victim, the alleged daughter of an old friend of his. He supposes she has hallucinations because of the heart, but it turns out not to be the cause. House discovers a disease that her grandfather had."
2,24,S2.E24 ∙ No Reason,9.4,7400,https://www.imdb.com/title/tt0787373/?ref_=ttep_ep_24,An old patient of House comes back and seeks revenge upon him in the form of gunshot.
3,1,S3.E1 ∙ Meaning,8.8,4600,https://www.imdb.com/title/tt0828219/?ref_=ttep_ep_1,"Richard, a husband and father living with brain cancer, drives his wheelchair into a pool at a family BBQ. Everyone but his son think that it was suicide from the pain but House will stop at nothing to figure out his true ailment."
3,2,S3.E2 ∙ Cane and Able,8.3,3800,https://www.imdb.com/title/tt0834714/?ref_=ttep_ep_2,"House is affected by the fact that he thinks he didn't solve the last case while a young boy, who believes aliens tortured him, is brought in."
3,3,S3.E3 ∙ Informed Consent,8.5,3900,https://www.imdb.com/title/tt0834715/?ref_=ttep_ep_3,House and his team face a lot of moral dilemmas when a patient wants them to help him end his life.
3,4,S3.E4 ∙ Lines in the Sand,8.9,4700,https://www.imdb.com/title/tt0836216/?ref_=ttep_ep_4,"A ten-year-old boy begins screaming in pain, but nobody knows why, because he is autistic and cannot explain. House refuses to use his office because it has new carpet."
3,5,S3.E5 ∙ Fools for Love,8.2,3600,https://www.imdb.com/title/tt0873021/?ref_=ttep_ep_5,"A husband and wife being treated cause Foreman to ponder the strength of true love, and House abuses one too many patients with potentially devastating repercussions."
3,6,S3.E6 ∙ Que Será Será,8,3700,https://www.imdb.com/title/tt0854514/?ref_=ttep_ep_6,"An obese man in a coma presents treatment challenges, but finding out what's wrong with him may be the most challenging test of all. Elsewhere, Tritter ramps up his vendetta against House."
3,7,S3.E7 ∙ Son of Coma Guy,8.8,4600,https://www.imdb.com/title/tt0859366/?ref_=ttep_ep_7,"When the son of a man in a vegetative state starts going into a coma, the vegetative man is reawakened chemically by House, who hopes to get some clues to the son's problems."
3,8,S3.E8 ∙ Whac-A-Mole,8,3500,https://www.imdb.com/title/tt0866187/?ref_=ttep_ep_8,"A young man collapses at his job, and House makes a game of establishing the diagnosis until things turn critical, and Tritter increases the pressure on Wilson."
3,9,S3.E9 ∙ Finding Judas,8.4,3600,https://www.imdb.com/title/tt0871152/?ref_=ttep_ep_9,"While a little girl's life and limbs are in jeopardy, Tritter becomes more manipulative and House suffers withdrawal."
3,10,S3.E10 ∙ Merry Little Christmas,8.6,3800,https://www.imdb.com/title/tt0882414/?ref_=ttep_ep_10,"Wilson presents the deal to House and then convinces Cuddy to back him up, meanwhile the team is flummoxed by a patient's condition and various members keep seeking out House for his opinion even though he may not be prepared to assist."
3,11,S3.E11 ∙ Words and Deeds,8.4,3700,https://www.imdb.com/title/tt0888858/?ref_=ttep_ep_11,"House checks himself into rehab just before his trial, but a different game entirely may be afoot. Elsewhere, the team attempts to treat a firefighter who can't stop shivering."
3,12,"S3.E12 ∙ One Day, One Room",9,7500,https://www.imdb.com/title/tt0902016/?ref_=ttep_ep_12,"Stuck with clinic duty, House almost wishes he had the boring patients back after he encounters a young woman with an STD and the need to talk."
3,13,S3.E13 ∙ Needle in a Haystack,7.8,3500,https://www.imdb.com/title/tt0897691/?ref_=ttep_ep_13,"A young man is stricken during sex with his girlfriend, and House must determine why his organs are suddenly shutting down. Finding the cause is like looking for a needle in a haystack."
3,14,S3.E14 ∙ Insensitive,8.6,3900,https://www.imdb.com/title/tt0917153/?ref_=ttep_ep_14,"On Valentine's Day, House meddles in relationships as he works to diagnose a teenager who has a genetic inability to feel pain."
3,15,S3.E15 ∙ Half-Wit,8.9,4800,https://www.imdb.com/title/tt0942528/?ref_=ttep_ep_15,"House struggles to find out why a pianist savant is losing his ability to play. Ultimately, a decision must be made as to how much brain is necessary for a normal quality of life."
3,16,S3.E16 ∙ Top Secret,7.9,3500,https://www.imdb.com/title/tt0979558/?ref_=ttep_ep_16,"A patient whose relative has called in a favor with Cuddy presents with nonspecific minor symptoms that turn life-threatening, but House is distracted by a dream and an inability to urinate."
3,17,S3.E17 ∙ Fetal Position,8.4,3800,https://www.imdb.com/title/tt0987017/?ref_=ttep_ep_17,"When a pregnant woman has a stroke, the team is at a loss after all tests reveal nothing, but when her organs start shutting down Cuddy takes over the case."
3,18,S3.E18 ∙ Airborne,8.9,4500,https://www.imdb.com/title/tt0994242/?ref_=ttep_ep_18,"House and Cuddy are flying back to the US from an international conference in Singapore. While en route a mysterious disease strikes one passenger and an epidemic unfolds, causing House to diagnose in midair since they have missed the halfway mark by passing the north pole."
3,19,S3.E19 ∙ Act Your Age,8.1,3400,https://www.imdb.com/title/tt0976557/?ref_=ttep_ep_19,"A young girl is ailed with diseases that usually strike people much older than her 6 years of age. But before House can diagnose her, her brother starts exhibiting the same symptoms she was admitted with. During all of this House gives Wilson tickets that a patient had given to him for a play."
3,20,S3.E20 ∙ House Training,8.1,3500,https://www.imdb.com/title/tt0994243/?ref_=ttep_ep_20,"The cause of a woman's TIA stumps the team, and Foreman's family visits."
3,21,S3.E21 ∙ Family,8.2,3400,https://www.imdb.com/title/tt0994241/?ref_=ttep_ep_21,"Wilson is preparing his 14-year-old patient, Nick, for a bone marrow transplant when the donor, Nick's younger brother Matty, suddenly starts sneezing. Since Nick's immune system has been destroyed by the chemotherapy for his cancer, he cannot risk a marrow donation from Matty while Matty is ill."
3,22,S3.E22 ∙ Resignation,8.2,3400,https://www.imdb.com/title/tt0994244/?ref_=ttep_ep_22,A college girl suddenly coughs up blood during karate class. Foreman resigns. A vegan couple has problems with floating poop. House secretly drugs Wilson with amphetamine.
3,23,S3.E23 ∙ The Jerk,8.3,3500,https://www.imdb.com/title/tt1023376/?ref_=ttep_ep_23,"When a teenage chess player assaults his opponent, the team struggles to determine whether the problem is organic or psychological. Clinic Cases: Spotted sunburn."
3,24,S3.E24 ∙ Human Error,8.8,4100,https://www.imdb.com/title/tt1023643/?ref_=ttep_ep_24,"A couple risk their lives getting from Cuba to see House, but his preoccupation with staff issues may cost the woman her life."
4,1,S4.E1 ∙ Alone,8.9,4600,https://www.imdb.com/title/tt1081396/?ref_=ttep_ep_1,"House is off his game without the team, and Wilson uses an extreme tactic to force him into interviews."
4,2,S4.E2 ∙ The Right Stuff,8.7,4000,https://www.imdb.com/title/tt1104387/?ref_=ttep_ep_2,"House is forced to choose a new staff... and gathers 40 applicants to start narrowing down the field. Meanwhile, an Air Force pilot wants House to treat her secretly so she doesn't ruin her chances of becoming an astronaut."
4,3,S4.E3 ∙ 97 Seconds,8.6,3900,https://www.imdb.com/title/tt1117787/?ref_=ttep_ep_3,"Down to 10 candidates for his team, House splits them into 2 groups to diagnose a patient whose short lifespan has been made even shorter. Foreman leads his own team to diagnose a patient at his new workplace."
4,4,S4.E4 ∙ Guardian Angels,8.3,3500,https://www.imdb.com/title/tt1117788/?ref_=ttep_ep_4,"A woman seeing her dead mother stumps the recruits, especially once she begins seeing a recent victim."
4,5,S4.E5 ∙ Mirror Mirror,8.7,4000,https://www.imdb.com/title/tt1117789/?ref_=ttep_ep_5,A victim of a mugging presents with neurological symptoms and begins to mirror the behaviors of his doctors. Foreman joins the new fellows in seeking a diagnosis; Cameron and Chase takes bets on whom House will fire next.
4,6,S4.E6 ∙ Whatever It Takes,8.5,3700,https://www.imdb.com/title/tt1123416/?ref_=ttep_ep_6,"House is taken by jet to help diagnose a dying CIA agent, leaving Foreman in charge of the team trying to find out why a young woman passed out after a drag car race."
4,7,S4.E7 ∙ Ugly,8.1,3500,https://www.imdb.com/title/tt1136646/?ref_=ttep_ep_7,House and his team are hampered by a reality television crew while battling over possible diagnoses for a craniofacial surgery patient.
4,8,S4.E8 ∙ You Don't Want to Know,8.5,3500,https://www.imdb.com/title/tt1134258/?ref_=ttep_ep_8,"A magician's heart stops during a performance. At first House dismisses the case, but later changes his mind when complications arise. House has a contest to determine the next one to leave the team."
4,9,S4.E9 ∙ Games,8.5,3700,https://www.imdb.com/title/tt1144658/?ref_=ttep_ep_9,"House treats a rock musician, and some of the candidates have to get past their personal biases, Wilson misdiagnoses a patient, and the winners are named."
4,10,S4.E10 ∙ It's a Wonderful Lie,8.2,3400,https://www.imdb.com/title/tt1172357/?ref_=ttep_ep_10,"House is equally obsessed with a mother and daughter who don't lie, and using Christmas to create discord among the team members."
4,11,S4.E11 ∙ Frozen,9.1,4900,https://www.imdb.com/title/tt1168087/?ref_=ttep_ep_11,"When a researcher at a South Pole base becomes ill, House must diagnose the case at a distance. Meanwhile, House tries to find out who Wilson is dating, and his new staff tries to get him cable."
4,12,S4.E12 ∙ Don't Ever Change,7.9,3400,https://www.imdb.com/title/tt1178841/?ref_=ttep_ep_12,"A woman collapses at her wedding. She led a different life style before her marriage, House insists she hasn't changed. Wilson starts dating Amber."
4,13,S4.E13 ∙ No More Mr. Nice Guy,7.9,3300,https://www.imdb.com/title/tt1216106/?ref_=ttep_ep_13,"House encounters a patient who is too nice for his own good, which is a bigger problem than his emergency room diagnosis; and House competes with Amber for Wilson's attention."
4,14,S4.E14 ∙ Living the Dream,8.1,3400,https://www.imdb.com/title/tt1216107/?ref_=ttep_ep_14,"House finds himself at odds with his team when he becomes convinced that an actor on his favorite soap, ""Prescription Passion,"" has a serious medical condition."
4,15,S4.E15 ∙ House's Head,9.7,14000,https://www.imdb.com/title/tt1216108/?ref_=ttep_ep_15,"A bus that House was riding crashes. House claims there's a victim on the bus who is dying, but not from the bus accident. He stops at nothing to figure out who the patient is and what is ailing him/her."
4,16,S4.E16 ∙ Wilson's Heart,9.7,13000,https://www.imdb.com/title/tt1216109/?ref_=ttep_ep_16,"The team works to save someone close to a central character's heart. The key is inside House's head, but he is in a bad way himself."
5,1,S5.E1 ∙ Dying Changes Everything,8.3,3700,https://www.imdb.com/title/tt1274484/?ref_=ttep_ep_1,"House's preoccupation with Wilson leaves his team without direction and endangers the patient, a female whose exhaustive work schedule and demanding boss may have caused her condition."
5,2,S5.E2 ∙ Not Cancer,8.1,3300,https://www.imdb.com/title/tt1273723/?ref_=ttep_ep_2,"Years after receiving body parts from an organ donor, five out of six recipients die within a few months, but not from organ rejection. House and the team race against time to figure out why before the final surviving recipient, a young woman who received the donor's cornea, mysteriously dies as well."
5,3,S5.E3 ∙ Adverse Events,7.9,3200,https://www.imdb.com/title/tt1273727/?ref_=ttep_ep_3,"House's investigator gets information on everyone, which House uses to stir the pot of their lives while the team tries to cure a portraitist whose artistic view now looks like Picasso."
5,4,S5.E4 ∙ Birthmarks,8.9,4200,https://www.imdb.com/title/tt1273728/?ref_=ttep_ep_4,"House tries every delaying tactic available when Wilson forces him to attend his father's funeral. Meanwhile, the team tries to find the cause of a young woman's abdominal pain and hemorrhage that occurred in China."
5,5,S5.E5 ∙ Lucky Thirteen,8.4,3500,https://www.imdb.com/title/tt1273729/?ref_=ttep_ep_5,"Thirteen's one night stand collapses at her apartment, and her symptoms are so misleading that the diagnosis may be terminal. Meanwhile, revelation about Wilson and Thirteen occupy House."
5,6,S5.E6 ∙ Joy,8.4,3400,https://www.imdb.com/title/tt1273730/?ref_=ttep_ep_6,"House takes on a case where the patient has unexplained blackouts, and his daughter may hold the key to the diagnosis. Meanwhile, Cuddy prepares for her new arrival until there are complications with the birth mother."
5,7,S5.E7 ∙ The Itch,8.1,3100,https://www.imdb.com/title/tt1273731/?ref_=ttep_ep_7,House takes time to dabble in Cameron and Chase's love life while he treats an agoraphobic patient she's brought to the team.
5,8,S5.E8 ∙ Emancipation,7.9,3000,https://www.imdb.com/title/tt1273732/?ref_=ttep_ep_8,"The team tries to treat a patient who keeps lying to them, and Foreman exerts some independence."
5,9,S5.E9 ∙ Last Resort,8.9,4600,https://www.imdb.com/title/tt1273733/?ref_=ttep_ep_9,"A person takes House, Thirteen and others as hostages. He's seen several doctors but none have found what ails him. As they work towards finding a solution, Thirteen makes decisions which leads her to think about her own condition."
5,10,S5.E10 ∙ Let Them Eat Cake,8.1,3100,https://www.imdb.com/title/tt1273713/?ref_=ttep_ep_10,The drug trial brings back memories for Thirteen; Kutner and Taub scramble as they try to salvage a scam and save the team's patient whose gastric bypass may not have saved her life.
5,11,S5.E11 ∙ Joy to the World,8.2,3400,https://www.imdb.com/title/tt1273714/?ref_=ttep_ep_11,"A teenager collapses on stage, and the outcome will lead to a surprise for Cuddy. Wilson convinces House to be nice to his patients during the holidays. Foreman and Thirteen have issues when a trial patient drops from the program."
5,12,S5.E12 ∙ Painless,7.9,3100,https://www.imdb.com/title/tt1273715/?ref_=ttep_ep_12,House treats a patient who's worn out by chronic pain. Cuddy tries to do her job and take care of her new child. Foreman and Thirteen's relationship stalls.
5,13,S5.E13 ∙ Big Baby,7.8,2900,https://www.imdb.com/title/tt1273716/?ref_=ttep_ep_13,"House maneuvers against a measured Cameron when she takes over Cuddy's duties, Foreman faces an ethical dilemma, and Cuddy has trouble bonding with the baby."
5,14,S5.E14 ∙ The Greater Good,7.8,2900,https://www.imdb.com/title/tt1273717/?ref_=ttep_ep_14,"A physician who gave up her career comes in for treatment, leading to tense encounters with the team. Meanwhile, Cuddy exacts revenge and Foreman's choice has devastating consequences."
5,15,S5.E15 ∙ Unfaithful,8.3,3200,https://www.imdb.com/title/tt1273718/?ref_=ttep_ep_15,"House treats a priest who's lost his faith, issues an ultimatum to Foreman and Thirteen, and plays with Cuddy's desire to have him attend - or is it not attend? - her baby's naming ceremony."
5,16,S5.E16 ∙ The Softer Side,8.4,3300,https://www.imdb.com/title/tt1273719/?ref_=ttep_ep_16,"House's team resents being made complicit in a web of lies parents have told their son when he's brought in for treatment that may be related to his intersexuality. Meanwhile, no one's content that House is happy."
5,17,S5.E17 ∙ The Social Contract,8.6,3400,https://www.imdb.com/title/tt1273720/?ref_=ttep_ep_17,"The team tries to diagnose a condition that leaves the patient saying anything that he thinks, no matter whom it hurts, and Wilson raises House's antennae when he passes up a monster truck rally."
5,18,S5.E18 ∙ Here Kitty,8.1,3100,https://www.imdb.com/title/tt1273721/?ref_=ttep_ep_18,House treats a patient who is convinced she's dying because of a death predicting cat. Meanwhile Taub catches up with an old High School classmate and contemplates leaving the team.
5,19,S5.E19 ∙ Locked In,9.1,5000,https://www.imdb.com/title/tt1273722/?ref_=ttep_ep_19,"House is injured in a motorcycle accident. While recovering, he finds an accident victim suffering from a brain injury. House tries to prove the brain damage caused the accident, not vice versa, so he can treat the patient."
5,20,S5.E20 ∙ Simple Explanation,9.1,5300,https://www.imdb.com/title/tt1273724/?ref_=ttep_ep_20,"Taub treats a patient whose dying husband gets better as she becomes sicker, while the rest of the team deals with a devastating loss."
5,21,S5.E21 ∙ Saviors,8.2,3100,https://www.imdb.com/title/tt1273725/?ref_=ttep_ep_21,House worries he's lost his mojo when he can't determine the reason for Cameron and Wilson's changed behaviors or his new patient's diagnosis.
5,22,S5.E22 ∙ House Divided,9,4200,https://www.imdb.com/title/tt1273726/?ref_=ttep_ep_22,"House's Amber hallucination becomes more aggressive as sleep deprivation takes its toll endangering a patient, and Chase's bachelor party ends in the emergency room."
5,23,S5.E23 ∙ Under My Skin,9.2,4500,https://www.imdb.com/title/tt1399759/?ref_=ttep_ep_23,"When all of House's efforts to rid himself of Amber fail, he turns to someone unexpected for assistance. Meanwhile, the team is left to fend for itself as they try to save a ballerina's life and career."
5,24,S5.E24 ∙ Both Sides Now,9.6,7900,https://www.imdb.com/title/tt1413129/?ref_=ttep_ep_24,"House and his team treat a patient who had his brain split in half, now it seems like one side of his brain is causing some health/behavioral issues. House plays games with Cuddy over the night he detoxed, and those events will cause major changes. Cameron and Chase come to a decision."
6,1,S6.E1 ∙ Broken,9.6,12000,https://www.imdb.com/title/tt1462220/?ref_=ttep_ep_1,"House fights his doctors, the staff and his fellow patients when he's forced to stay in the psychiatric hospital under threat of permanently losing his medical license."
6,2,S6.E2 ∙ Epic Fail,8.5,3600,https://www.imdb.com/title/tt1503404/?ref_=ttep_ep_2,Vince hallucinates during testing of a video game he's developing. House quits his old job after mental hospital. He joins Wilson in cooking class. Foreman takes over on trial.
6,3,S6.E3 ∙ The Tyrant,8.9,4100,https://www.imdb.com/title/tt1503408/?ref_=ttep_ep_3,Foreman hires Chase and Cameron as his new team. An African tyrant becomes Foreman and co.'s patient. They're not happy. House is back as consultant. House meets Wilson's downstairs neighbor.
6,4,S6.E4 ∙ Instant Karma,8.3,3100,https://www.imdb.com/title/tt1503409/?ref_=ttep_ep_4,"A wealthy businessman brings his teenage son, who is suffering from inexplicable stomach pains, to Princeton Plainsboro and insists on having Dr. House handle the case. The father of the patient believes the karmic penalty of his financial success is that he is victim to personal tragedy."
6,5,S6.E5 ∙ Brave Heart,8.3,3100,https://www.imdb.com/title/tt1503410/?ref_=ttep_ep_5,"A cop believes he's genetically doomed to die of heart failure at 40 (next week), so he takes big risks at work, landing him with Cameron. She gets House to look at him."
6,6,S6.E6 ∙ Known Unknowns,8.2,3100,https://www.imdb.com/title/tt1503411/?ref_=ttep_ep_6,A teenage girl is brought to the hospital with severely swollen appendages after a wild night out.
6,7,S6.E7 ∙ Teamwork,8,3100,https://www.imdb.com/title/tt1503412/?ref_=ttep_ep_7,"After House's medical license is reinstated, he reclaims his role as Head of Diagnostics in time to treat Hank Hardwick, an adult film star admitted to Princeton Plainsboro for pulsating eye pain. Meanwhile, Cuddy is reminded that the hospital is not conducive to healthy personal relationships."
